14/11/2018 12:06:42 seed: 1946	step_size: 0.01	noise: 0.01	batch_size: 4	num_best_dir: 2
14/11/2018 12:16:59 ep: 640/3000	reward: -150.40	training reward: -51.40	running mean: -100.88 
14/11/2018 12:17:24 ep: 650/3000	reward: -110.60	training reward: -11.60	running mean: -103.27 
14/11/2018 12:17:36 ep: 660/3000	reward: -106.67	training reward: -7.67	running mean: -104.10 
14/11/2018 12:17:56 ep: 670/3000	reward: -104.01	training reward: -5.01	running mean: -105.22 
14/11/2018 12:18:03 ep: 680/3000	reward: -104.53	training reward: -5.53	running mean: -106.94 
14/11/2018 12:18:12 ep: 690/3000	reward: -109.16	training reward: -10.16	running mean: -109.03 
14/11/2018 12:18:33 ep: 700/3000	reward: -126.72	training reward: -27.72	running mean: -110.33 
14/11/2018 12:18:42 ep: 710/3000	reward: -107.00	training reward: -8.00	running mean: -111.89 
14/11/2018 12:18:55 ep: 720/3000	reward: -104.20	training reward: -5.20	running mean: -111.87 
14/11/2018 12:19:05 ep: 730/3000	reward: -111.42	training reward: -12.42	running mean: -112.11 
14/11/2018 12:19:14 ep: 740/3000	reward: -148.26	training reward: -49.26	running mean: -111.69 
14/11/2018 12:19:54 ep: 750/3000	reward: -143.75	training reward: -44.75	running mean: -110.85 
14/11/2018 12:20:10 ep: 760/3000	reward: -107.05	training reward: -8.05	running mean: -113.32 
14/11/2018 12:20:23 ep: 770/3000	reward: -125.41	training reward: -26.41	running mean: -114.07 
14/11/2018 12:20:39 ep: 780/3000	reward: -131.15	training reward: -32.15	running mean: -115.24 
14/11/2018 12:20:53 ep: 790/3000	reward: -97.39	training reward: 1.61	running mean: -115.81 
14/11/2018 12:21:12 ep: 800/3000	reward: -111.65	training reward: -12.65	running mean: -114.40 
14/11/2018 12:21:19 ep: 810/3000	reward: -96.49	training reward: 2.51	running mean: -112.95 
14/11/2018 12:21:25 ep: 820/3000	reward: -95.34	training reward: 3.66	running mean: -111.41 
14/11/2018 12:21:34 ep: 830/3000	reward: -94.53	training reward: 4.47	running mean: -110.38 
14/11/2018 12:21:48 ep: 840/3000	reward: -160.04	training reward: -61.04	running mean: -110.35 
