14/11/2018 12:06:42 seed: 1946	step_size: 0.01	noise: 0.01	batch_size: 8	num_best_dir: 4
14/11/2018 12:06:49 ep: 0/3000	reward: -92.00	training reward: 7.00	running mean: -92.00 
14/11/2018 12:07:09 ep: 10/3000	reward: -91.82	training reward: 7.18	running mean: -94.82 
14/11/2018 12:07:24 ep: 20/3000	reward: -93.39	training reward: 5.61	running mean: -89.97 
14/11/2018 12:07:41 ep: 30/3000	reward: -93.17	training reward: 5.83	running mean: -90.87 
14/11/2018 12:07:55 ep: 40/3000	reward: -93.40	training reward: 5.60	running mean: -91.43 
14/11/2018 12:08:15 ep: 50/3000	reward: -93.43	training reward: 5.57	running mean: -91.80 
14/11/2018 12:08:25 ep: 60/3000	reward: -92.87	training reward: 6.13	running mean: -92.02 
14/11/2018 12:08:39 ep: 70/3000	reward: -92.14	training reward: 6.86	running mean: -92.05 
14/11/2018 12:08:54 ep: 80/3000	reward: -91.92	training reward: 7.08	running mean: -92.04 
14/11/2018 12:09:13 ep: 90/3000	reward: -91.88	training reward: 7.12	running mean: -92.32 
14/11/2018 12:09:36 ep: 100/3000	reward: -90.79	training reward: 8.21	running mean: -92.25 
14/11/2018 12:09:47 ep: 110/3000	reward: -91.21	training reward: 7.79	running mean: -91.91 
14/11/2018 12:10:01 ep: 120/3000	reward: -91.77	training reward: 7.23	running mean: -92.62 
14/11/2018 12:10:15 ep: 130/3000	reward: -92.54	training reward: 6.46	running mean: -92.95 
14/11/2018 12:10:38 ep: 140/3000	reward: -113.39	training reward: -14.39	running mean: -93.25 
14/11/2018 12:11:11 ep: 150/3000	reward: -90.88	training reward: 8.12	running mean: -93.37 
14/11/2018 12:11:32 ep: 160/3000	reward: -91.88	training reward: 7.12	running mean: -93.20 
14/11/2018 12:11:45 ep: 170/3000	reward: -90.71	training reward: 8.29	running mean: -93.28 
14/11/2018 12:12:06 ep: 180/3000	reward: -29.61	training reward: -29.61	running mean: -92.57 
14/11/2018 12:12:26 ep: 190/3000	reward: -91.48	training reward: 7.52	running mean: -92.72 
14/11/2018 12:12:44 ep: 200/3000	reward: -93.07	training reward: 5.93	running mean: -93.22 
14/11/2018 12:12:58 ep: 210/3000	reward: -92.12	training reward: 6.88	running mean: -93.76 
14/11/2018 12:13:10 ep: 220/3000	reward: -91.21	training reward: 7.79	running mean: -94.11 
14/11/2018 12:13:18 ep: 230/3000	reward: -112.70	training reward: -13.70	running mean: -93.92 
14/11/2018 12:13:31 ep: 240/3000	reward: -93.18	training reward: 5.82	running mean: -93.17 
14/11/2018 12:13:48 ep: 250/3000	reward: -92.44	training reward: 6.56	running mean: -92.51 
14/11/2018 12:14:05 ep: 260/3000	reward: -90.80	training reward: 8.20	running mean: -93.08 
14/11/2018 12:14:17 ep: 270/3000	reward: -89.86	training reward: 9.14	running mean: -93.07 
14/11/2018 12:14:27 ep: 280/3000	reward: -92.31	training reward: 6.69	running mean: -93.90 
14/11/2018 12:14:51 ep: 290/3000	reward: -91.27	training reward: 7.73	running mean: -93.85 
14/11/2018 12:15:16 ep: 300/3000	reward: -91.21	training reward: 7.79	running mean: -93.77 
14/11/2018 12:15:30 ep: 310/3000	reward: -91.14	training reward: 7.86	running mean: -93.23 
14/11/2018 12:15:43 ep: 320/3000	reward: -116.25	training reward: -17.25	running mean: -93.01 
14/11/2018 12:16:04 ep: 330/3000	reward: -90.50	training reward: 8.50	running mean: -93.31 
14/11/2018 12:16:19 ep: 340/3000	reward: -109.56	training reward: -10.56	running mean: -94.20 
14/11/2018 12:16:50 ep: 350/3000	reward: -89.93	training reward: 9.07	running mean: -94.31 
14/11/2018 12:17:07 ep: 360/3000	reward: -112.89	training reward: -13.89	running mean: -94.35 
14/11/2018 12:17:26 ep: 370/3000	reward: -91.86	training reward: 7.14	running mean: -94.36 
14/11/2018 12:17:42 ep: 380/3000	reward: -87.48	training reward: 11.52	running mean: -94.29 
14/11/2018 12:18:03 ep: 390/3000	reward: -113.17	training reward: -14.17	running mean: -94.51 
14/11/2018 12:18:30 ep: 400/3000	reward: -90.88	training reward: 8.12	running mean: -94.28 
14/11/2018 12:18:48 ep: 410/3000	reward: -86.74	training reward: 12.26	running mean: -93.99 
14/11/2018 12:19:14 ep: 420/3000	reward: -113.75	training reward: -14.75	running mean: -94.73 
14/11/2018 12:19:30 ep: 430/3000	reward: -85.88	training reward: 13.12	running mean: -94.04 
14/11/2018 12:19:49 ep: 440/3000	reward: -115.84	training reward: -16.84	running mean: -92.73 
14/11/2018 12:20:16 ep: 450/3000	reward: -87.84	training reward: 11.16	running mean: -91.86 
14/11/2018 12:20:33 ep: 460/3000	reward: -83.37	training reward: 15.63	running mean: -90.49 
14/11/2018 12:21:05 ep: 470/3000	reward: -90.55	training reward: 8.45	running mean: -89.53 
14/11/2018 12:21:24 ep: 480/3000	reward: -87.92	training reward: 11.08	running mean: -89.16 
14/11/2018 12:21:38 ep: 490/3000	reward: -84.95	training reward: 14.05	running mean: -88.17 
14/11/2018 12:21:51 ep: 500/3000	reward: -92.13	training reward: 6.87	running mean: -87.62 
14/11/2018 12:22:05 ep: 510/3000	reward: -100.99	training reward: -1.99	running mean: -87.69 
