14/11/2018 12:06:42 seed: 1946	step_size: 0.01	noise: 0.01	batch_size: 16	num_best_dir: 8
14/11/2018 12:06:52 ep: 0/3000	reward: -91.58	training reward: 7.42	running mean: -91.58 
14/11/2018 12:07:32 ep: 10/3000	reward: -92.11	training reward: 6.89	running mean: -91.90 
14/11/2018 12:08:03 ep: 20/3000	reward: -91.70	training reward: 7.30	running mean: -92.90 
14/11/2018 12:08:33 ep: 30/3000	reward: -91.98	training reward: 7.02	running mean: -92.52 
14/11/2018 12:09:00 ep: 40/3000	reward: -92.05	training reward: 6.95	running mean: -92.35 
14/11/2018 12:09:32 ep: 50/3000	reward: -91.57	training reward: 7.43	running mean: -92.19 
14/11/2018 12:10:02 ep: 60/3000	reward: -91.25	training reward: 7.75	running mean: -92.48 
14/11/2018 12:10:35 ep: 70/3000	reward: -91.75	training reward: 7.25	running mean: -92.65 
14/11/2018 12:11:14 ep: 80/3000	reward: -91.43	training reward: 7.57	running mean: -92.49 
14/11/2018 12:11:43 ep: 90/3000	reward: -91.27	training reward: 7.73	running mean: -92.61 
14/11/2018 12:12:21 ep: 100/3000	reward: -91.40	training reward: 7.60	running mean: -92.74 
14/11/2018 12:12:49 ep: 110/3000	reward: -91.41	training reward: 7.59	running mean: -92.70 
14/11/2018 12:13:18 ep: 120/3000	reward: -91.32	training reward: 7.68	running mean: -92.44 
14/11/2018 12:13:46 ep: 130/3000	reward: -91.44	training reward: 7.56	running mean: -92.66 
14/11/2018 12:14:15 ep: 140/3000	reward: -91.06	training reward: 7.94	running mean: -92.87 
14/11/2018 12:15:00 ep: 150/3000	reward: -91.70	training reward: 7.30	running mean: -93.15 
14/11/2018 12:15:42 ep: 160/3000	reward: -91.57	training reward: 7.43	running mean: -92.91 
14/11/2018 12:16:09 ep: 170/3000	reward: -91.45	training reward: 7.55	running mean: -92.70 
14/11/2018 12:16:37 ep: 180/3000	reward: -91.57	training reward: 7.43	running mean: -92.71 
14/11/2018 12:17:04 ep: 190/3000	reward: -91.59	training reward: 7.41	running mean: -92.53 
14/11/2018 12:17:36 ep: 200/3000	reward: -91.63	training reward: 7.37	running mean: -92.58 
14/11/2018 12:18:01 ep: 210/3000	reward: -120.82	training reward: -21.82	running mean: -93.20 
14/11/2018 12:18:30 ep: 220/3000	reward: -91.56	training reward: 7.44	running mean: -92.85 
14/11/2018 12:18:55 ep: 230/3000	reward: -119.41	training reward: -20.41	running mean: -93.16 
14/11/2018 12:19:23 ep: 240/3000	reward: -91.07	training reward: 7.93	running mean: -93.19 
14/11/2018 12:19:53 ep: 250/3000	reward: -91.04	training reward: 7.96	running mean: -93.74 
14/11/2018 12:20:15 ep: 260/3000	reward: -91.45	training reward: 7.55	running mean: -94.54 
14/11/2018 12:20:46 ep: 270/3000	reward: -90.95	training reward: 8.05	running mean: -94.71 
14/11/2018 12:21:09 ep: 280/3000	reward: -89.81	training reward: 9.19	running mean: -94.68 
14/11/2018 12:21:44 ep: 290/3000	reward: -91.65	training reward: 7.35	running mean: -94.61 
